date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстъци KRONOS мариновани и печени 70 г,NA,1.8900000000000001,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстъци KRONOS пикантни 70 г,NA,1.95,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстъци KRONOS сухо печени 70 г,NA,1.95,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстъци KRONOS пържени 70 г,NA,1.95,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък бирен OPTIMA LINIJA 200 гр.,NA,1.95,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Целина, бр.",NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Кокосов орех, бр.",NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Царевица за варене, бр.",NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Кромид лук, кг",кг,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Моркови, кг",0.500 кг.,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Тиквички, кг",0.50 кг.,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Чесън мрежа, бр.",NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Люти чушки 200 г,NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Слънчоглед FIORRE белен, суров 250 г",NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Тиквени семки KRONOS печени 70 г,NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Печен фъстък OPTIMA LINIJA 200 гр.,NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Праз лук,NA,1.99,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Пастет COMPASS VEGETAL маслини, 125 г",NA,2.15,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед ВУЙЧО ВАНЬО 130 г,NA,2.15,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед ВУЙЧО ВАНЬО бял 70 г.,NA,2.15,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед ВУЙЧО ВАНЬО лют 70 г,NA,2.15,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Ленено семе ELORA 250 гр.,NA,2.15,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Пържен фъстък OPTIMA LINIJA 200 гр.,NA,2.15,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Ленено семе FIORRE мляно 200 г,NA,2.19,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Ядки KRONOS Fiesta микс печени 130 г,NA,2.3499999999999996,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстъци KRONOS бирени 130 г,NA,2.3499999999999996,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък ЕЛИТ печен 140 г.,NA,2.3499999999999996,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Стафида OPTIMA LINIJA 200 гр.,NA,2.3499999999999996,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Оризови ядки Какино Тане CLASSIC 70 гр.,NA,2.3499999999999996,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед KRONOS бял 130 г,NA,2.4499999999999997,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед ЕЛИТ шарен 170 г,NA,2.4499999999999997,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Овесени ядки FIORRE 500 г,NA,2.4499999999999997,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед ЕЛИТ 170г,NA,2.4499999999999997,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Портокали, кг",1.00кг.,2.4899999999999998,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Червено цвекло, кг",0.50 кг.,2.4899999999999998,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Ябълки шарени, кг.",1.00 кг.,2.4899999999999998,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Ошав 150гр,NA,2.4899999999999998,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък ROIS Sweet chili 140 г,NA,2.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък ROIS печен едър 160 г,NA,2.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Тиквено семе ВУЙЧО ВАНЬО 90 г,NA,2.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед KRONOS пъстър XL 130 г,NA,2.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Бирени фъстъци ЕЛИТ 140 г,NA,2.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък ROIS Sea salt 140 г,NA,2.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстъци KRONOS печени 130 гр.,NA,2.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Айсберг салата, бр.",NA,2.59,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Гъби печурка 250 г,NA,2.79,NA,NA,NA
